E,M
2, -25
6, -23
6, -23
6, -23
6, -23
6, -23
6, -23
6, -23
6, -23
6, -23
6, -23
6, -23
6, -23
6, -23
6, -23
10, -21
10, -21
10, -21
10, -21
10, -21
10, -21
10, -21
10, -21
10, -21
10, -21
10, -21
10, -21
10, -21
10, -21
10, -21
10, -21
10, -21
10, -21
10, -21
10, -21
10, -21
10, -21
10, -21
10, -21
10, -21
10, -21
10, -21
10, -21
10, -21
12, -19
12, -19
14, -17
12, -19
12, -19
14, -17
16, -15
14, -17
12, -19
12, -19
10, -21
10, -21
10, -21
12, -19
12, -19
14, -17
14, -17
14, -17
16, -15
18, -13
18, -13
22, -11
22, -11
22, -9
20, -11
20, -13
20, -15
18, -17
18, -17
18, -17
18, -15
20, -13
22, -11
22, -9
22, -7
22, -5
22, -5
22, -7
22, -7
22, -7
22, -7
24, -5
22, -7
22, -7
22, -5
20, -3
20, -1
20, -1
20, -1
22, 1
24, -1
24, -3
22, -5
22, -5
22, -7
22, -7
22, -7
22, -7
20, -9
20, -9
20, -9
20, -9
20, -11
18, -13
14, -15
14, -15
16, -13
14, -15
14, -15
12, -17
12, -17
12, -17
12, -17
12, -17
16, -15
16, -15
16, -15
14, -17
16, -15
16, -15
18, -13
18, -13
18, -13
18, -13
20, -11
20, -11
20, -13
20, -13
18, -15
18, -15
18, -15
18, -15
18, -15
18, -15
18, -15
20, -13
16, -15
14, -17
14, -17
14, -17
12, -19
10, -21
10, -21
10, -21
10, -21
10, -21
12, -19
12, -19
12, -19
12, -17
12, -17
12, -17
14, -15
14, -15
14, -15
14, -15
14, -15
14, -15
14, -15
14, -13
14, -13
16, -11
16, -11
16, -11
16, -11
16, -11
18, -9
18, -9
20, -7
20, -7
22, -9
22, -9
22, -9
18, -11
18, -11
18, -9
18, -9
18, -9
18, -9
18, -11
18, -11
18, -9
20, -7
20, -7
20, -5
20, -7
18, -5
18, -5
18, -3
18, -1
18, -1
18, -1
18, 1
18, -1
18, 1
18, -1
18, 1
20, 3
20, 3
20, 1
18, -1
18, -3
20, -1
24, 1
26, -1
26, -3
26, -1
26, -3
26, -3
26, -1
26, -1
26, 1
26, -1
26, 1
26, 3
26, 3
26, 3
24, 1
26, -1
30, -3
28, -5
28, -5
26, -3
26, -3
26, -3
22, -5
20, -7
20, -9
22, -7
22, -7
22, -7
22, -7
22, -5
22, -3
24, -1
24, -3
24, -3
24, -5
24, -7
24, -9
24, -9
24, -9
24, -9
24, -9
24, -7
24, -7
24, -5
