M1, M2
1.00000, 0.00460
1.00000, 0.01920
1.00000, 0.02980
1.00000, 0.03400
1.00000, 0.03780
1.00000, 0.05020
1.00000, 0.04520
1.00000, 0.04700
1.00000, 0.05420
1.00000, 0.05340
1.00000, 0.05940
1.00000, 0.05200
1.00000, 0.05200
1.00000, 0.05980
1.00000, 0.05640
1.00000, 0.06540
1.00000, 0.06760
1.00000, 0.06760
1.00000, 0.05860
1.00000, 0.06020
1.00000, 0.05860
1.00000, 0.05840
1.00000, 0.05900
1.00000, 0.05880
1.00000, 0.05320
1.00000, 0.05800
1.00000, 0.05840
1.00000, 0.06440
1.00000, 0.07220
1.00000, 0.06980
1.00000, 0.07320
1.00000, 0.07140
1.00000, 0.07820
1.00000, 0.07800
1.00000, 0.07940
0.99980, 0.07720
1.00000, 0.07540
1.00000, 0.06880
1.00000, 0.07760
1.00000, 0.07020
1.00000, 0.06980
1.00000, 0.07520
1.00000, 0.07320
1.00000, 0.07000
1.00000, 0.06840
1.00000, 0.06740
1.00000, 0.06440
1.00000, 0.06180
1.00000, 0.06300
1.00000, 0.06580
1.00000, 0.06640
1.00000, 0.06320
1.00000, 0.06720
1.00000, 0.06360
1.00000, 0.05700
1.00000, 0.05980
1.00000, 0.05700
1.00000, 0.05180
1.00000, 0.04800
1.00000, 0.05340
1.00000, 0.05520
1.00000, 0.04760
1.00000, 0.05220
1.00000, 0.05240
1.00000, 0.05440
1.00000, 0.05580
1.00000, 0.05780
1.00000, 0.05460
1.00000, 0.05400
1.00000, 0.05140
1.00000, 0.04800
1.00000, 0.04240
1.00000, 0.04240
1.00000, 0.04040
1.00000, 0.03600
1.00000, 0.04040
1.00000, 0.03720
1.00000, 0.04400
1.00000, 0.03980
1.00000, 0.03960
1.00000, 0.04200
1.00000, 0.04060
1.00000, 0.04080
1.00000, 0.04540
1.00000, 0.04660
1.00000, 0.04540
1.00000, 0.04400
1.00000, 0.04600
1.00000, 0.04380
1.00000, 0.04660
1.00000, 0.04380
1.00000, 0.04400
1.00000, 0.04340
1.00000, 0.04680
1.00000, 0.04440
1.00000, 0.04480
1.00000, 0.04740
1.00000, 0.04600
1.00000, 0.04400
1.00000, 0.03780
1.00000, 0.03460
1.00000, 0.03380
1.00000, 0.03040
1.00000, 0.03100
1.00000, 0.03080
1.00000, 0.03380
1.00000, 0.02820
1.00000, 0.03000
1.00000, 0.02680
1.00000, 0.02980
1.00000, 0.02580
1.00000, 0.02300
1.00000, 0.01820
1.00000, 0.01600
1.00000, 0.01120
1.00000, 0.00800
1.00000, 0.00800
1.00000, 0.01040
1.00000, 0.01380
1.00000, 0.01960
1.00000, 0.01940
1.00000, 0.02100
1.00000, 0.02500
1.00000, 0.03380
1.00000, 0.02760
1.00000, 0.03160
1.00000, 0.03360
1.00000, 0.03560
1.00000, 0.04060
1.00000, 0.04560
1.00000, 0.04360
1.00000, 0.04380
1.00000, 0.04020
1.00000, 0.03600
1.00000, 0.03460
1.00000, 0.03300
1.00000, 0.03480
1.00000, 0.03660
1.00000, 0.03360
1.00000, 0.03340
1.00000, 0.02960
1.00000, 0.03100
1.00000, 0.03060
1.00000, 0.03100
1.00000, 0.03080
1.00000, 0.03500
1.00000, 0.03140
1.00000, 0.03020
1.00000, 0.03060
1.00000, 0.03460
1.00000, 0.03280
1.00000, 0.03320
1.00000, 0.03540
1.00000, 0.03820
1.00000, 0.04060
1.00000, 0.04400
1.00000, 0.04620
1.00000, 0.04820
1.00000, 0.04720
1.00000, 0.04640
1.00000, 0.04480
1.00000, 0.04700
1.00000, 0.04540
1.00000, 0.04460
1.00000, 0.04060
1.00000, 0.03940
1.00000, 0.04160
1.00000, 0.04240
1.00000, 0.04580
1.00000, 0.04400
1.00000, 0.04940
1.00000, 0.05020
1.00000, 0.05140
1.00000, 0.05180
1.00000, 0.04920
1.00000, 0.05160
1.00000, 0.05440
1.00000, 0.05260
1.00000, 0.04940
1.00000, 0.04900
1.00000, 0.04900
1.00000, 0.04920
1.00000, 0.04660
1.00000, 0.04860
1.00000, 0.05160
1.00000, 0.05160
1.00000, 0.05060
1.00000, 0.05240
1.00000, 0.04900
1.00000, 0.04600
1.00000, 0.04540
1.00000, 0.04360
1.00000, 0.04500
1.00000, 0.04680
1.00000, 0.04460
1.00000, 0.04680
1.00000, 0.04680
1.00000, 0.04740
1.00000, 0.04880
1.00000, 0.04660
1.00000, 0.04700
1.00000, 0.04500
1.00000, 0.04800
1.00000, 0.04580
1.00000, 0.04320
1.00000, 0.04440
1.00000, 0.04320
1.00000, 0.04300
1.00000, 0.04180
1.00000, 0.04240
1.00000, 0.04400
1.00000, 0.04200
