E,M
2, -400
6, -398
6, -398
6, -398
6, -398
6, -398
6, -398
6, -398
6, -398
6, -398
6, -398
6, -398
10, -396
10, -396
10, -396
10, -396
10, -396
10, -396
10, -396
10, -396
10, -396
10, -396
10, -396
10, -396
14, -394
14, -394
18, -392
18, -392
18, -392
18, -392
22, -390
22, -390
22, -390
22, -390
22, -390
22, -390
22, -390
22, -390
22, -390
22, -390
22, -390
22, -390
22, -390
22, -390
22, -390
22, -390
22, -390
22, -390
22, -390
22, -390
22, -390
22, -390
22, -390
22, -390
22, -390
22, -390
22, -390
22, -390
22, -390
26, -388
26, -388
26, -388
26, -388
26, -388
26, -388
26, -388
26, -388
30, -386
30, -386
30, -386
30, -386
30, -386
30, -386
34, -384
34, -384
34, -384
34, -384
34, -384
34, -384
34, -384
34, -384
34, -384
34, -384
34, -384
34, -384
34, -384
34, -384
30, -386
34, -384
34, -384
34, -384
34, -384
34, -384
34, -384
34, -384
34, -384
34, -384
34, -384
34, -384
34, -384
38, -382
42, -380
42, -380
42, -380
42, -380
42, -380
44, -378
44, -378
44, -378
44, -378
48, -376
48, -376
48, -376
48, -376
48, -376
48, -376
48, -376
52, -374
56, -372
56, -372
56, -372
56, -372
60, -370
60, -370
60, -370
60, -370
60, -370
60, -370
60, -370
60, -370
60, -370
60, -370
60, -370
60, -370
60, -370
60, -370
60, -370
60, -370
60, -370
56, -372
56, -372
56, -372
56, -372
56, -372
52, -374
56, -372
56, -372
56, -372
56, -372
56, -372
56, -372
56, -372
56, -370
56, -370
56, -370
56, -370
56, -370
56, -370
56, -370
56, -370
56, -370
58, -368
58, -368
58, -368
58, -368
58, -368
60, -366
60, -366
60, -366
60, -366
60, -366
62, -364
62, -364
62, -364
62, -364
62, -364
62, -364
66, -362
70, -360
70, -360
70, -360
70, -360
70, -360
70, -360
74, -358
74, -358
74, -358
74, -358
74, -358
74, -358
74, -358
74, -358
74, -358
78, -356
78, -356
80, -354
84, -352
84, -352
84, -352
84, -352
84, -352
84, -352
84, -352
84, -352
84, -352
84, -352
84, -352
84, -352
88, -350
90, -348
90, -348
90, -348
90, -348
92, -346
92, -346
92, -346
92, -346
96, -344
96, -344
96, -344
94, -346
98, -344
102, -342
102, -342
102, -342
102, -342
102, -342
102, -342
106, -340
106, -340
106, -340
108, -338
108, -338
112, -336
112, -336
114, -334
114, -334
114, -334
116, -332
118, -330
118, -330
118, -330
116, -328
116, -328
116, -328
116, -328
116, -328
116, -328
116, -328
120, -326
120, -326
120, -326
120, -326
120, -326
120, -326
120, -326
120, -326
120, -326
120, -326
120, -326
120, -326
120, -326
120, -326
120, -326
120, -326
120, -326
120, -326
120, -326
120, -326
120, -326
120, -326
120, -326
122, -324
122, -324
122, -324
118, -326
118, -326
114, -328
114, -328
114, -328
114, -328
114, -328
114, -328
114, -328
116, -326
116, -326
116, -326
116, -326
116, -326
120, -324
120, -324
124, -322
124, -322
124, -322
124, -322
122, -320
118, -322
118, -322
118, -322
122, -320
126, -318
126, -318
126, -318
128, -316
128, -316
128, -316
130, -314
130, -314
134, -312
134, -312
134, -312
138, -310
138, -310
134, -312
134, -312
134, -312
134, -312
136, -310
136, -310
138, -308
138, -308
138, -308
138, -308
140, -306
140, -306
140, -306
140, -304
140, -304
140, -304
140, -304
136, -306
140, -304
140, -304
140, -302
140, -302
140, -302
140, -302
140, -302
140, -302
140, -302
140, -302
140, -302
140, -302
140, -302
