E,M
-2, -1
-6, 1
-4, -1
-2, -3
-2, -1
-4, -3
-2, -1
-2, -1
-4, 1
-2, 3
-2, 1
-4, 3
-4, 3
-6, 1
-8, -1
-10, 1
-14, 3
-14, 3
-16, 5
-16, 5
-16, 5
-16, 7
-16, 7
-16, 5
-14, 3
-14, 3
-14, 1
-14, -1
-16, -3
-16, -5
-16, -5
-12, -7
-12, -5
-14, -3
-12, -5
-12, -5
-12, -5
-12, -7
-12, -9
-14, -11
-16, -13
-16, -13
-16, -13
-16, -15
-16, -13
-16, -13
-14, -11
-14, -9
-14, -9
-12, -7
-10, -5
-10, -3
-12, -5
-12, -3
-12, -1
-10, -3
-10, -5
-10, -5
-8, -3
-8, -3
-8, -5
-6, -3
-6, -3
-6, -1
-6, -3
-8, -5
-10, -3
-10, -5
-10, -5
-10, -7
-10, -7
-12, -9
-14, -11
-18, -13
-18, -15
-16, -13
-16, -13
-16, -13
-18, -15
-16, -13
-14, -11
-14, -11
-14, -9
-14, -9
-14, -11
-14, -11
-14, -11
-14, -13
-14, -15
-10, -13
-10, -11
-10, -11
-8, -9
-6, -7
-8, -9
-8, -7
-6, -5
-6, -5
-6, -3
-8, -5
-6, -7
-6, -9
-10, -11
-10, -9
-10, -9
-12, -11
-12, -11
-16, -13
-16, -13
-16, -13
-16, -13
-16, -13
-16, -13
-14, -11
-14, -13
-16, -15
-16, -17
-16, -17
-16, -17
-16, -15
-12, -13
-12, -11
-12, -11
-12, -9
-14, -11
-14, -9
-14, -7
-14, -7
-12, -5
-10, -3
-10, -1
-8, 1
-10, -1
-10, 1
-10, 3
-8, 1
-8, 1
-8, 3
-8, 1
-8, 3
-8, 5
-8, 5
-8, 3
-8, 5
-8, 3
-10, 5
-10, 5
-10, 7
-10, 9
-12, 11
-16, 13
-16, 13
-16, 13
-18, 15
-16, 13
-16, 11
-16, 13
-18, 15
-18, 15
-18, 15
-16, 13
-16, 13
-16, 13
-16, 13
-18, 15
-16, 13
-16, 13
-18, 15
-16, 13
-14, 11
-12, 9
-12, 9
-12, 9
-10, 7
-10, 7
-12, 9
-12, 11
-16, 13
-14, 11
-16, 13
-16, 13
-16, 13
-16, 13
-18, 15
-18, 15
-18, 15
-20, 17
-22, 19
-22, 19
-18, 17
-18, 17
-16, 15
-16, 13
-16, 13
-14, 11
-16, 13
-16, 15
-18, 17
-18, 17
-18, 17
-18, 17
-18, 17
-16, 15
-16, 17
-14, 15
-14, 15
-14, 15
-12, 13
-10, 11
-12, 13
-14, 15
-14, 15
-14, 13
-14, 15
-16, 17
-16, 17
-16, 15
-16, 15
-16, 15
-16, 17
-16, 17
-20, 19
-16, 17
-14, 15
-16, 17
-20, 19
-20, 19
-18, 17
-18, 17
-20, 19
-18, 17
-18, 17
-18, 17
-18, 17
-18, 17
-22, 19
-22, 19
-22, 19
-22, 19
-22, 19
-22, 19
-22, 19
-20, 17
-20, 15
-20, 15
-20, 15
-20, 13
-20, 13
-16, 11
-16, 11
-16, 9
