T,mean_Mps,std_Mps
0.2, 1.00000, 0.00000
0.4, 1.00000, 0.00000
0.6, 1.00000, 0.00000
0.8, 0.99989, 0.00005
1.0, 0.99924, 0.00014
1.2, 0.99718, 0.00031
1.4, 0.99145, 0.00055
1.6, 0.97929, 0.00090
1.8, 0.95678, 0.00137
2.0, 0.90998, 0.00140
2.2, 0.79834, 0.00502
2.4, 0.01618, 0.05797
2.6, 0.01347, 0.02605
2.8, 0.02134, 0.02865
3.0, 0.00865, 0.01614
3.2, 0.01266, 0.00858
3.4, 0.01044, 0.01982
3.6, 0.00600, 0.00738
3.8, 0.01521, 0.00520
4.0, 0.00217, 0.00551
4.2, 0.01076, 0.00521
4.4, 0.00662, 0.00248
4.6, 0.00713, 0.00646
4.8, 0.00767, 0.00578
5.0, 0.01134, 0.00411
