T,mean_Mps,std_Mps
0.2, 1.00000, 0.00000
0.4, 1.00000, 0.00000
0.6, 1.00000, 0.00000
0.8, 0.99990, 0.00001
1.0, 0.99919, 0.00012
1.2, 0.99716, 0.00041
1.4, 0.99123, 0.00024
1.6, 0.97920, 0.00144
1.8, 0.95595, 0.00195
2.0, 0.91138, 0.00379
2.2, 0.79712, 0.00637
2.4, 0.01731, 0.03157
2.6, -0.01060, 0.02481
2.8, 0.01770, 0.00534
3.0, -0.00036, 0.00894
3.2, -0.00069, 0.00560
3.4, 0.02530, 0.00605
3.6, 0.00760, 0.00554
3.8, 0.01202, 0.00641
4.0, -0.00107, 0.01106
4.2, 0.01232, 0.00129
4.4, 0.01172, 0.01491
4.6, 0.01590, 0.00998
4.8, 0.00160, 0.00921
5.0, 0.01168, 0.00263
