T,mean_Cv,std_Cv
0.2, 0.00000, 0.00000
0.4, 0.00000, 0.00000
0.6, 0.00000, 0.00000
0.8, 0.00707, 0.00376
1.0, 0.01075, 0.00390
1.2, 0.08979, 0.04933
1.4, 0.08538, 0.00526
1.6, 0.22442, 0.01996
1.8, 0.28308, 0.07295
2.0, 0.47586, 0.01258
2.2, 5871.09850, 6918.65489
2.4, 1.45852, 0.64522
2.6, 0.75964, 0.36441
2.8, 0.38475, 0.21250
3.0, 0.34151, 0.10563
3.2, 0.24662, 0.12386
3.4, 0.32004, 0.10447
3.6, 0.25387, 0.12215
3.8, 0.23975, 0.08670
4.0, 0.20806, 0.05536
4.2, 0.09908, 0.04561
4.4, 0.13318, 0.07771
4.6, 0.08805, 0.03965
4.8, 0.12225, 0.04603
5.0, 0.08469, 0.03260
